Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
LPG,U-Haul,5285 S Cobb Dr SE,At I-285,Smyrna,GA,30080,,4047922772,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,GPS,33.8248723807524,-84.4880094865081,2025-05-12,19511,2025-05-12 16:14:03 UTC,P,,,2000-11-01,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,U-Haul,4940 Memorial Dr,1 mile outside of I-285,Stone Mountain,GA,30083,,4042969737,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,33.79028,-84.230988,2025-05-12,19513,2025-05-12 16:14:03 UTC,P,,,2000-11-01,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,U-Haul,5365 Jimmy Carter Blvd NW,East of I-85,Norcross,GA,30093,,7704475017,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-8,33.904974,-84.204327,2025-05-12,19514,2025-05-12 16:14:03 UTC,P,,,2000-11-01,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,U-Haul,1290 Pleasant Hill Rd,Between Club and Cruse,Lawrenceville,GA,30044,,7703819793,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,33.936021,-84.12031,2025-05-12,19517,2025-05-12 16:14:03 UTC,P,,,2000-11-01,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,U-Haul,7242 Highway 85,North of Highway 138,Riverdale,GA,30274,,7709975923,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,33.557101,-84.413272,2025-05-12,19518,2025-05-12 16:14:03 UTC,P,,,2000-11-01,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,U-Haul,2161 Hewatt Rd,West of Snellville on Highway 78,Snellville,GA,30039,,7709795237,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,GPS,33.842699,-84.061184,2025-05-12,19519,2025-05-12 16:14:03 UTC,P,,,2000-11-01,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,U-Haul,3947 NE Peachtree Rd,At Druid Hills,Atlanta,GA,30319,,4042312126,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,GPS,33.857618,-84.341682,2025-05-12,19520,2025-05-12 16:14:03 UTC,P,,,2000-11-01,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,U-Haul,4225 Fulton Industrial,At I-20,Atlanta,GA,30336,,4046968817,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,33.7656794525731,-84.5306832711639,2025-05-12,19521,2025-05-12 16:14:03 UTC,P,,,2000-11-01,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,U-Haul,2951 NE Expy,At Shallowford Rd,Chamblee,GA,30341,,7704588353,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,33.864748,-84.286938,2025-05-12,19522,2025-05-12 16:14:03 UTC,P,,,2000-11-01,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,U-Haul,3363 Wrightsboro Rd,East of Bobby Jones,Augusta,GA,30909,,7067386463,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,33.469164,-82.074659,2025-05-12,19530,2025-05-12 16:14:03 UTC,P,,,2000-11-01,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
CNG,Metropolitan Atlanta Rapid Transit Authority,277 Laredo Dr,,Scottdale,GA,30030,,,E,,Private - Government only,,,,Q,3600,,,,,,,GPS,33.7829229,-84.2706594,2024-02-12,25597,2025-02-12 00:16:32 UTC,LG,,,2004-07-15,,HD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,FLEET_GARAGE,,,1100,,,,,,,,,Q,3600,HD,,,,,,,,,,,HD,,
LPG,USA Gas Inc,815 N Tibbs Rd,I-75 exit 336  turn left on Tibbs Rd across from Wendy's,Dalton,GA,30720,,706-279-2900,E,,Public,8am-5pm M-F,Cash M V,,,,,,,,,,GPS,34.78582557666189,-85.00308179496766,2024-06-13,25983,2025-02-12 00:16:32 UTC,P,,,2004-11-20,,,false,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,ACME,,,,,,,,false,,,,,,,,MD,,
LPG,Blossman Gas Inc,3081 US-27 BUS,Hwy 27 Bypass Buchanan Ga,Buchanan,GA,30113,,770-646-5400,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash D M V,,,,,,,,,,GPS,33.790729,-85.18092,2024-10-11,26674,2025-02-12 00:16:32 UTC,P,,,2005-03-22,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,Blossman Gas Inc,66 Rickman St,,Clayton,GA,30525,,706-782-8305,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash Checks D M V,,,,,,,,,,GPS,34.87776316132707,-83.39517062565614,2024-10-11,26675,2025-02-12 00:16:32 UTC,P,,,2005-03-22,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,Blossman Gas Inc,2739 Highway 129 S,,Cleveland,GA,30528,,706-865-1797,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash D M V,,,,,,,,,,GPS,34.558527,-83.761408,2024-10-11,26676,2025-02-12 00:16:32 UTC,P,,,2005-03-22,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,Blossman Gas Inc,8905 Highway 5,,Douglasville,GA,30134,,770-949-9815,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash Checks D M V,,,,,,,,,,200-9,33.739385,-84.77525,2024-10-11,26677,2025-02-12 00:16:32 UTC,P,,,2005-03-22,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,Blossman Gas Inc,1725 N Main St,,Lafayette,GA,30728,,404-273-2927,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash Checks D M V,,,,,,,,,,200-9,34.734529,-85.276451,2024-10-11,26678,2025-02-12 00:16:32 UTC,P,,,2005-03-22,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,Blossman Gas Inc,3918 Rockmart Hwy,Highway 278 between Rockmart and Cedartown,Cedartown,GA,30125,,770-684-7382,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash Checks D M V,,,,,,,,,,GPS,34.002203,-85.146333,2024-10-11,26679,2025-02-12 00:16:32 UTC,P,,,2005-03-22,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
E85,Fort Stewart,Tank Trail,,Fort Stewart,GA,31314,,,E,,Private - Government only,"Also accepts VIL Key, Military CAT",Proprietor Wright_Exp,,,,,,,,,,GPS,31.881908,-81.636969,2025-01-13,30238,2025-02-12 00:16:32 UTC,FG,6,Department of Army,2009-09-15,,,,false,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,DA,MIL_BASE,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD,Robins Air Force Base,640 2nd St,,Macon,GA,31098,,,E,,Private - Government only,Also accepts paying arrangement made with station manager,Wright_Exp,B20,,,,,,,,,GPS,32.619389,-83.602222,2025-01-13,30305,2025-02-12 00:16:32 UTC,FG,5,Department of Air Force,2006-09-15,,,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,DAF,MIL_BASE,,,,,,,,,,,,,,,,,,,,,,,,,,,
E85,Speedy #4,101 Marshallville Rd,I-75 exit 135,Perry,GA,31069,,478-987-8061,E,,Public,"6am-11pm M-Th, 6am-12am F-Sat, 6am-10pm Sun",A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-9,32.447148,-83.75019,2024-09-12,30844,2025-02-12 00:16:32 UTC,P,,,2006-11-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,,
E85,Speedy #2,2601 Moody Rd,At Feagan Mill Rd,Warner Robins,GA,31088,,478-328-3755,E,,Public - Credit card after hours,6am-10pm daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,GPS,32.574874,-83.624089,2024-09-12,31200,2025-02-12 00:16:32 UTC,P,,,2007-02-23,,,,false,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,,
E85,Chevron,2755 Clairmont Rd,,Atlanta,GA,30329,,404-321-2712,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,GPS,33.83745508306181,-84.31129160978696,2024-10-11,33003,2025-02-12 00:16:32 UTC,P,,,2015-08-31,,,,false,,US,,,,Public,,public,,,GAS_STATION,,,,,,,,,,,,,,,,,false,,,,,,,,MD,,
E85,BP - Safa Express,725 Grayson Hwy,,Lawrenceville,GA,30046,,770-277-1119,E,,Public,24 hours daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,GPS,33.956197,-83.988108,2024-09-12,33010,2025-02-12 00:16:32 UTC,P,,,2008-04-11,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,,
E85,Texaco,1525 Mountain Industrial,,Stone Mountain,GA,30083,,770-493-9107,E,,Public,6am-12am daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,33.825956,-84.195469,2024-09-12,33012,2025-02-12 00:16:32 UTC,P,,,2008-06-01,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,,
CNG,Clean Energy - College Park,4555 Edison Dr,Near Hartsfield-Jackson International Airport,College Park,GA,30337,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,A CleanEnergy Comdata D FleetOne FuelMan M Proprietor V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,33.632374,-84.465773,2024-12-10,33716,2025-05-06 20:35:12 UTC,LG,,,2008-11-12,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,2,NONE,,,,,,,,,,Q,3600,HD,,,false,,,,,,true,,HD,,
E85,Exxon - GasXpress,202 Candler Rd,At Memorial Drive,Atlanta,GA,30317,,404-687-9455,E,,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-9,33.747469,-84.291757,2024-09-12,35236,2025-02-12 00:16:32 UTC,P,,,2020-02-14,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,,
BD,Marine Corps Logistic Base - Albany,814 Radford Blvd,,Albany,GA,31704,,,E,,Private - Government only,,,B20,,,,,,,,,GPS,31.551225,-84.066879,2025-01-13,35324,2025-02-12 00:16:32 UTC,FG,26,United States Marine Corps,2009-07-01,,,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,USMC,MIL_BASE,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNG,DeKalb County - Seminole Road Landfill,4295 Clevemont Rd,,Ellenwood,GA,30294,,404-297-4434,E,,Public - Credit card at all times,6am-10pm M-F,D M V Voyager Wright_Exp,,Q,3600,,,,,,,200-8,33.652844,-84.253832,2024-10-11,36304,2025-02-12 00:16:32 UTC,LG,,,2012-09-01,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,MUNI_GOV,2,LANDFILL,,,,,,,,,,Q,3600,HD,,,false,,,,,,true,,HD,,
CNG,Snapping Shoals EMC,14750 Brown Bridge Rd,,Covington,GA,30016,,,E,,Private,,,,Q,3600,,,,,,,200-9,33.553764,-84.010826,2024-10-11,36578,2025-02-12 00:16:32 UTC,T,,,1998-01-01,,MD,,,,US,,,,Privé,,private,,,UTILITY,1,,,,,,,,,,,Q,3600,MD,,,,,,,,,false,,MD,,
E85,BP,4615 Hugh Howell Rd,,Tucker,GA,30084,,770-939-6069,E,,Public,24 hours daily,A Cash Checks D M V Voyager Wright_Exp,,,,,,,,,,200-9,33.848708,-84.200314,2025-01-13,36904,2025-02-12 00:16:32 UTC,P,,,2016-08-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,,
CNG,CobbLinc,800 S Marietta Pkwy SE,,Atlanta,GA,30060,,,E,,Private - Government only,,,,Q,3000,,,,,,,200-9,33.94136,-84.529676,2025-01-13,37116,2025-02-12 00:16:32 UTC,LG,,,2002-01-01,,MD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,FLEET_GARAGE,3,,,,,,,,,,,Q,3000,MD,,,,,,,,,false,,MD,,
E85,Federal Law Enforcement Training Center Glynco,1131 Chapel Crossing Rd,,Glynco,GA,31524,,,E,,Private - Government only,Call ahead,,,,,,,,,,,GPS,31.228369,-81.462842,2025-01-13,37131,2025-02-12 00:16:32 UTC,FG,10,Department of Homeland Security,2008-12-15,,,,false,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,DHS,FED_GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,
E85,Chevron,295 Mount Vernon Hwy NE,,Sandy Springs,GA,30328,,678-732-9540,E,,Public,6am-11pm daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,GPS,33.92431168486179,-84.37784329206545,2024-10-11,37134,2025-02-12 00:16:32 UTC,P,,,2010-12-17,,,,false,,US,,,,Public,,public,,,GAS_STATION,,,,,,,,,,,,,,,,,false,,,,,,,,MD,,
E85,Gas N Go,202 B Highway 19 S,Corner of US Hwy 280 W and Hwy 19 S,Americus,GA,31719,,229-931-8940,E,,Public,"5:30am-12am Sun-Th, 5:30am-12:30am F-Sat",A Cash Checks D Debit M V Voyager Wright_Exp,,,,,,,,,,200-9,32.064009,-84.253284,2024-10-11,37353,2025-02-12 00:16:32 UTC,P,,,2010-12-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,,
LPG,Alliance AutoGas - Modern Gas Co,1335 US Highway 82 W,Located two miles west of the Albany Mall on the right,Leesburg,GA,31763,,229-435-6116  888-446-4551,E,,Public,"8am-6pm M-F, 9am-4pm Sat (full service); 24 hours daily with Alliance AutoGas card (self-service)",A ALLIANCE Cash Checks D M V,,,,,,,,,,200-9,31.633203,-84.240701,2025-01-13,38474,2025-02-12 00:16:32 UTC,P,,,2013-10-13,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
ELEC,Nalley Nissan of Atlanta,2551 The Nalley Way,,Atlanta,GA,30360,,855-416-9828,E,,Public - Call ahead,"9am-8pm M-Sat, 12pm-5pm Sun",,,,,,1,2,,Non-Networked,,GPS,33.907866,-84.283186,2024-02-12,39985,2025-02-12 00:16:32 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Gwinnett Place Nissan,2555 Pleasant Hill Rd,,Duluth,GA,30096,,770-476-7771,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,33.96794,-84.14603,2024-02-12,39986,2025-02-12 00:16:32 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Stone Mountain Nissan,4275 Highway 78,,Lilburn,GA,30047,,678-252-3100,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,33.83581,-84.07828,2024-02-12,39988,2025-02-12 00:16:32 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,AutoNation Nissan - Thornton Road,811 Thornton Rd,,Lithia Springs,GA,30122,,770-674-6080,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,33.78405,-84.61276,2024-02-12,39989,2025-02-12 00:16:32 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Nissan of Marietta,925 Cobb Pkwy S,,Marietta,GA,30060,,,E,,Private,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,33.92909,-84.50889,2024-09-12,39990,2025-02-12 00:16:32 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Nissan South,6889 Jonesboro Rd,,Morrow,GA,30260,,770-968-1360,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,33.566938,-84.344405,2024-02-12,39991,2025-02-12 00:16:32 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
