"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","fare_revenues_per_unlinked","fare_revenues_per_unlinked_1","fare_revenues_per_total","fare_revenues_per_total_1","cost_per_hour","cost_per_hour_questionable","passengers_per_hour","passengers_per_hour_1","cost_per_passenger","cost_per_passenger_1","cost_per_passenger_mile","cost_per_passenger_mile_1","fare_revenues_earned","fare_revenues_earned_1","total_operating_expenses","total_operating_expenses_1","unlinked_passenger_trips","unlinked_passenger_trips_1","vehicle_revenue_hours","vehicle_revenue_hours_1","passenger_miles","passenger_miles_questionable","vehicle_revenue_miles","vehicle_revenue_miles_1"
"New Jersey Transit Corporation","Newark","NJ","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","3282","MB","Bus","PT","162","0.85",,"0.0968",,"121.1628",,"13.7984",,"8.7809",,"2.0324",,"5906094",,"61010203",,"6948048",,"503539",,"30018757",,"6146110",
"New Jersey Transit Corporation","Newark","NJ","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","3282","VP","Vanpool","PT","59","4.9793",,"0.2313",,"161.2733",,"7.4929",,"21.5234",,"0.5813",,"990534",,"4281646",,"198930",,"26549",,"7366256",,"1116063",
"New Jersey Transit Corporation","Newark","NJ","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","3282","LR","Light Rail","PT","42","0.5371",,"0.0637",,"864.6587",,"102.5188",,"8.4341",,"2.0811",,"7191546",,"112937393",,"13390492",,"130615",,"54268939",,"2138781",
"New Jersey Transit Corporation","Newark","NJ","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","3282","YR","Hybrid Rail","PT","16","0.5578",,"0.0265",,"903.7094",,"42.9047",,"21.0632",,"1.4177",,"980435",,"37020457",,"1757592",,"40965",,"26112409",,"1019056",
"New Jersey Transit Corporation","Newark","NJ","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","3282","LR","Light Rail","DO","15","0.9914",,"0.1361",,"580.5273",,"79.6976",,"7.2841",,"2.9489",,"4137375",,"30398153",,"4173204",,"52363",,"10308363",,"514930",
"Washington Metropolitan Area Transit Authority, dba: Washington Metro","Washington","DC","30030","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","92242","Washington--Arlington, DC--VA--MD","5174759","2727","MB","Bus","DO","1148","0.5409",,"0.0575",,"256.3922",,"27.253",,"9.4079",,"3.1497",,"55635201",,"967654253",,"102855922",,"3774118",,"307224136",,"37991955",
"Washington Metropolitan Area Transit Authority, dba: Washington Metro","Washington","DC","30030","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","92242","Washington--Arlington, DC--VA--MD","5174759","2727","HR","Heavy Rail","DO","904","1.8254",,"0.156",,"465.7557",,"39.793",,"11.7045",,"2.5178",,"231416666",,"1483819870",,"126773716",,"3185833",,"589321101",,"72468652",
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","44479","Kennewick--Richland--Pasco, WA","255401","273","DR","Demand Response","DO","62","0.986",,"0.0169",,"134.1983",,"2.3053",,"58.214",,"7.3148",,"231684",,"13679233",,"234982",,"101933",,"1870067",,"1704662",
"Washington Metropolitan Area Transit Authority, dba: Washington Metro","Washington","DC","30030","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","92242","Washington--Arlington, DC--VA--MD","5174759","2727","DR","Demand Response","PT","675","3.2693",,"0.0255",,"104.7253",,"0.8178",,"128.0637",,"11.1172",,"4557908",,"178539429",,"1394146",,"1704836",,"16059711",,"18952524",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","90154","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2651","MB","Bus","DO","1453","0.4373",,"0.0635",,"225.6037",,"32.7424",,"6.8903",,"2.0022",,"86005188",,"1355085868",,"196666725",,"6006489",,"676814161",,"61005588",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","90154","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2651","VP","Vanpool","PT","781","7.2522",,"1.0022",,"24.4988",,"3.3855",,"7.2364",,"0.1607",,"11248704",,"11224263",,"1551083",,"458155",,"69855494",,"18132574",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","90154","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2651","LR","Light Rail","DO","166","0.3597",,"0.0265",,"688.8282",,"50.6632",,"13.5962",,"2.069","Q","13161651",,"497457985",,"36587977",,"722180",,"240434763","Q","14618325",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","90154","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2651","MB","Bus","PT","108","0.2801",,"0.0454",,"130.8575",,"21.2264",,"6.1648",,"1.4544",,"2682050",,"59020413",,"9573708",,"451028",,"40581281",,"5283295",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","90154","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2651","DR","Demand Response","DO","67","0",,"0",,"176.9619",,"3.7162",,"47.6192",,"12.4127",,"0",,"33146738",,"696080",,"187310",,"2670379",,"2843992",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","90154","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2651","HR","Heavy Rail","DO","52","0.4111",,"0.0574",,"645.7858",,"90.1608",,"7.1626",,"1.439",,"11040864",,"192351180",,"26854945",,"297856",,"133671083",,"6085994",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","90154","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2651","RB","Bus Rapid Transit","DO","24","0.4208",,"0.0381",,"497.6008",,"45.0055",,"11.0564",,"1.8104",,"1839640",,"48337940",,"4371929",,"97142",,"26699523",,"1497703",
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","2270","VP","Vanpool","DO","977","6.0336",,"0.6546",,"45.4198",,"4.9279",,"9.2169",,"0.436",,"6664059",,"10179899",,"1104484",,"224129",,"23349034",,"6705162",
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","2270","MB","Bus","DO","715","0.9512",,"0.085",,"257.0879",,"22.9761",,"11.1894",,"2.9029",,"60386305",,"710359423",,"63485248",,"2763099",,"244710079",,"29575605",
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","2270","DR","Demand Response","PT","317","0.9192",,"0.0113",,"130.5887",,"1.6097",,"81.1275",,"11.1419",,"816892",,"72095003",,"888663",,"552077",,"6470644",,"6710756",
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","2270","TB","Trolleybus","DO","110","0.9514",,"0.1118",,"239.2372",,"28.1254",,"8.5061",,"4.5971",,"10323654",,"92304429",,"10851566",,"385828",,"20078748",,"2575445",
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","2270","DR","Demand Response","TX","81","0.8692",,"0.0187",,"95.7224",,"2.0552",,"46.5754",,"3.7487",,"105605",,"5658724",,"121496",,"59116",,"1509526",,"1377744",
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","2270","MB","Bus","PT","58","0.5475",,"0.022",,"186.2207",,"7.4921",,"24.8557",,"6.5255","W","341551",,"15507155",,"623887",,"83273",,"2376398","W","983035",
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","2270","SR","Streetcar Rail","DO","10","0.4376",,"0.0442",,"377.5964",,"38.1758",,"9.891",,"8.9723",,"617795",,"13964269",,"1411817",,"36982",,"1556379",,"177754",
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","2270","FB","Ferryboat","DO","2","3.7361",,"0.1731",,"1514.0813",,"70.1575",,"21.5812",,"5.8294",,"1493280",,"8625721",,"399687",,"5697",,"1479694",,"52310",
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","09271","Boston, MA--NH","4382009","2208","MB","Bus","DO","624","0.9159",,"0.115",,"291.3658","Q","36.5689","Q","7.9676",,"3.149",,"70186983",,"610540090",,"76627997",,"2095442","Q","193886755",,"19885084","Q"
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","09271","Boston, MA--NH","4382009","2208","DR","Demand Response","PT","460","3.3304",,"0.0311",,"145.2503","Q","1.358","Q","106.9595",,"14.8916","Q","3358860",,"107873650",,"1008547",,"742674","Q","7243948","Q","8408318",
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","09271","Boston, MA--NH","4382009","2208","CR","Commuter Rail","PT","406","4.7942","Q","0.2358",,"585.8558",,"28.8109","Q","20.3346","Q","0.9497","Q","112639505",,"477756069",,"23494793","Q","815484",,"503068787","Q","23726200",
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","09271","Boston, MA--NH","4382009","2208","HR","Heavy Rail","DO","312","1.5327",,"0.3408",,"303.0933","Q","67.3882","Q","4.4977",,"1.3737",,"128794748",,"377944589",,"84030235",,"1246958","Q","275137442",,"16777587","Q"
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","09271","Boston, MA--NH","4382009","2208","MB","Bus","PT","234","0.0169","Q","0.0008",,"367.7012","Q","16.5202","Q","22.2577","Q","5.9368","Q","48387",,"63656064",,"2859960","Q","173119","Q","10722239","Q","1474859","Q"
"City of Richmond, dba: RoseView Transit","Richmond","IN","50249","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"9","MB","Bus","DO","6","1.022",,"0.1189",,"72.2493",,"8.409",,"8.5919",,"0",,"123758",,"1040462",,"121098",,"14401",,"0",,"174775",
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","09271","Boston, MA--NH","4382009","2208","LR","Light Rail","DO","128","1.2886",,"0.2422",,"317.4541","Q","59.6657","Q","5.3205",,"2.284","Q","47726099",,"197051081",,"37035882",,"620723","Q","86273010","Q","5565301","Q"
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","09271","Boston, MA--NH","4382009","2208","RB","Bus Rapid Transit","DO","34","0.7087",,"0.174",,"238.0926","Q","58.4509","Q","4.0734",,"1.8673",,"6313581",,"36287690",,"8908509",,"152410","Q","19433254",,"1365292","Q"
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","09271","Boston, MA--NH","4382009","2208","FB","Ferryboat","PT","10","7.0592",,"0.3596",,"774.2412",,"39.445",,"19.6284",,"2.5898","Q","7127213",,"19817479",,"1009633",,"25596",,"7652188","Q","242186","Q"
"Chicago Transit Authority","Chicago","IL","50066","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","16264","Chicago, IL--IN","8671746","2145","MB","Bus","DO","1307","1.0987",,"0.183",,"195.3558",,"32.5317",,"6.0051",,"2.4047",,"177655956",,"971019017",,"161699361",,"4970515",,"403793155",,"45411226",
"Chicago Transit Authority","Chicago","IL","50066","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","16264","Chicago, IL--IN","8671746","2145","HR","Heavy Rail","DO","838","1.317",,"0.2133",,"198.2754",,"32.1067",,"6.1755",,"1.0559",,"154677879",,"725296800",,"117447140",,"3658027",,"686884473",,"62562093",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","1952","MB","Bus","DO","1046","1.0979",,"0.1525",,"191.7",,"26.6347",,"7.1974",,"2.6024",,"111343692",,"729951826",,"101419053",,"3807783",,"280490972",,"38729536",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","1952","CR","Commuter Rail","DO","306","3.8744",,"0.2339",,"371.111",,"22.4065",,"16.5626",,"1.2138",,"74014513",,"316404808",,"19103554",,"852588",,"260671083",,"16787553",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","1952","DR","Demand Response","PT","240","3.765",,"0.0584",,"87.5452",,"1.3578",,"64.4776",,"9.6688",,"3225681",,"55240876",,"856745",,"630998",,"5713294",,"6178443",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","1952","HR","Heavy Rail","DO","238","0.88",,"0.2122",,"216.2114",,"52.142",,"4.1466",,"0.993",,"51017856",,"240404145",,"57976426",,"1111894",,"242101133",,"15034666",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","1952","SR","Streetcar Rail","DO","91","0.9456",,"0.163",,"290.0071",,"49.9977",,"5.8004",,"2.1671",,"13646744",,"83708237",,"14431445",,"288642",,"38627644",,"2569091",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","1952","TB","Trolleybus","DO","28","0.7405",,"0.1585",,"170.3969",,"36.4658",,"4.6728",,"2.308",,"2546755",,"16071153",,"3439310",,"94316",,"6963100",,"798435",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","1952","MB","Bus","PT","3","0.7416",,"0.0337",,"106.6544",,"4.8536",,"21.9744",,"3.4819",,"28466",,"843530",,"38387",,"7909",,"242259",,"128081",
"Maryland Transit Administration, dba: MTA","Baltimore","MD","30034","State Government Unit or Department of Transportation","Full Reporter","2023","04843","Baltimore, MD","2212038","1550","MB","Bus","DO","642","0.7145",,"0.0783",,"240.2242",,"26.3365",,"9.1213",,"2.2712",,"32678889",,"417154767",,"45734006",,"1736523",,"183667563",,"19688546",
"Maryland Transit Administration, dba: MTA","Baltimore","MD","30034","State Government Unit or Department of Transportation","Full Reporter","2023","04843","Baltimore, MD","2212038","1550","DR","Demand Response","PT","457","0.0593","Q","0.0008",,"124.5648",,"1.7","Q","73.2738","Q","7.5201",,"113356",,"140039703",,"1911185","Q","1124232",,"18621987",,"13264074",
"Maryland Transit Administration, dba: MTA","Baltimore","MD","30034","State Government Unit or Department of Transportation","Full Reporter","2023","04843","Baltimore, MD","2212038","1550","CR","Commuter Rail","PT","149","6.318",,"0.1348",,"939.95",,"20.0485",,"46.8837",,"1.6912",,"21334830",,"158318593",,"3376837",,"168433",,"93614719",,"6357532",
"Maryland Transit Administration, dba: MTA","Baltimore","MD","30034","State Government Unit or Department of Transportation","Full Reporter","2023","04843","Baltimore, MD","2212038","1550","DR","Demand Response","TX","142","0.0258","Q","0.0004",,"218.8737",,"3.2975","Q","66.3752","Q","10.9637",,"12752",,"32824708",,"494533","Q","149971",,"2993958",,"2798092",
"Maryland Transit Administration, dba: MTA","Baltimore","MD","30034","State Government Unit or Department of Transportation","Full Reporter","2023","04843","Baltimore, MD","2212038","1550","CB","Commuter Bus","PT","92","5.9074",,"0.1231",,"279.6346",,"5.8265",,"47.9937",,"2.5758",,"7020573",,"57037349",,"1188435",,"203971",,"22143896",,"6527713",
"Maryland Transit Administration, dba: MTA","Baltimore","MD","30034","State Government Unit or Department of Transportation","Full Reporter","2023","04843","Baltimore, MD","2212038","1550","HR","Heavy Rail","DO","40","0.7145",,"0.0173",,"386.0225",,"9.3661",,"41.2149",,"10.8835",,"1254665",,"72377289",,"1756095",,"187495",,"6650210",,"4693155","W"
"Maryland Transit Administration, dba: MTA","Baltimore","MD","30034","State Government Unit or Department of Transportation","Full Reporter","2023","04843","Baltimore, MD","2212038","1550","LR","Light Rail","DO","17","0.7145",,"0.0629",,"202.291",,"17.8126",,"11.3566",,"2.5349",,"2453871",,"39000686",,"3434185",,"192795",,"15385667",,"2984967","W"
"Maryland Transit Administration, dba: MTA","Baltimore","MD","30034","State Government Unit or Department of Transportation","Full Reporter","2023","04843","Baltimore, MD","2212038","1550","DR","Demand Response","DO","11","0.1205","Q","0.001",,"186.8097",,"1.579","Q","118.3064","Q","10.7993",,"1416",,"1389864",,"11748","Q","7440",,"128699",,"128609",
"Metropolitan Transit Authority of Harris County, Texas , dba: METRO","Houston","TX","60008","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","40429","Houston, TX","5853575","1505","MB","Bus","DO","520","0.4823",,"0.0435",,"197.4425",,"17.8251",,"11.0767",,"2.0947",,"18779440",,"431300493",,"38937809",,"2184436",,"205905166",,"27849772",
"Metropolitan Transit Authority of Harris County, Texas , dba: METRO","Houston","TX","60008","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","40429","Houston, TX","5853575","1505","DR","Demand Response","PT","402","0.9752",,"0.0193",,"78.1493",,"1.5448",,"50.5901",,"5.2639",,"1853159",,"96135109",,"1900277",,"1230147",,"18263111",,"16338892",
"Metropolitan Transit Authority of Harris County, Texas , dba: METRO","Houston","TX","60008","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","40429","Houston, TX","5853575","1505","VP","Vanpool","DO","199","3.9559",,"0.3334",,"65.6845",,"5.5354",,"11.8664",,"0.3884",,"1634394",,"4902623",,"413153",,"74639",,"12621265",,"2602653",
"Metropolitan Transit Authority of Harris County, Texas , dba: METRO","Houston","TX","60008","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","40429","Houston, TX","5853575","1505","CB","Commuter Bus","DO","141","2.6714",,"0.1399",,"322.7647",,"16.9023",,"19.096",,"0.9812",,"5347333",,"38224706",,"2001717",,"118429",,"38956602",,"3063051",
"Metropolitan Transit Authority of Harris County, Texas , dba: METRO","Houston","TX","60008","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","40429","Houston, TX","5853575","1505","MB","Bus","PT","126","0.4723",,"0.0552",,"139.6378",,"16.3126",,"8.5601",,"1.5894",,"4763301",,"86334976",,"10085751",,"618278",,"54318223",,"7991041",
"Metropolitan Transit Authority of Harris County, Texas , dba: METRO","Houston","TX","60008","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","40429","Houston, TX","5853575","1505","CB","Commuter Bus","PT","59","2.6317",,"0.2144",,"198.8253",,"16.1999",,"12.2733",,"0.6083",,"3336261",,"15559075",,"1267720",,"78255",,"25578933",,"2254291",
"Metropolitan Transit Authority of Harris County, Texas , dba: METRO","Houston","TX","60008","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","40429","Houston, TX","5853575","1505","LR","Light Rail","DO","52","0.1853",,"0.0217",,"447.9569",,"52.4969",,"8.533",,"3.0536",,"2533590",,"116651568",,"13670607",,"260408",,"38200815",,"3121679",
"Metropolitan Transit Authority of Harris County, Texas , dba: METRO","Houston","TX","60008","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","40429","Houston, TX","5853575","1505","RB","Bus Rapid Transit","DO","6","0.1278",,"0.0064",,"143.7155",,"7.1936",,"19.9783",,"6.8384",,"38176",,"5968506",,"298750",,"41530",,"872790",,"343399",
"County of Miami-Dade","Miami","FL","40034","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56602","Miami--Fort Lauderdale, FL","6077522","1297","MB","Bus","DO","571","1.0624",,"0.1257",,"267.2156",,"31.6027",,"8.4555",,"1.8585",,"58112372",,"462487995",,"54696981",,"1730767",,"248850890",,"23781560",
"County of Miami-Dade","Miami","FL","40034","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56602","Miami--Fort Lauderdale, FL","6077522","1297","DR","Demand Response","PT","339","3.5001",,"0.0927",,"52.2875",,"1.3841",,"37.7775",,"2.9038",,"4984522",,"53798766",,"1424095",,"1028903",,"18526965",,"12310697",
"County of Miami-Dade","Miami","FL","40034","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56602","Miami--Fort Lauderdale, FL","6077522","1297","VP","Vanpool","PT","220","5.8482",,"2.0103",,"18.1118",,"6.226",,"2.9091",,"0.0918",,"2606935",,"1296769",,"445769",,"71598",,"14132894",,"3267284",
"County of Miami-Dade","Miami","FL","40034","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56602","Miami--Fort Lauderdale, FL","6077522","1297","HR","Heavy Rail","DO","84","1.0747",,"0.1059",,"402.1351",,"39.6156",,"10.1509",,"1.2624",,"14251496",,"134613928",,"13261255",,"334748",,"106633044",,"7243733",
"County of Miami-Dade","Miami","FL","40034","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56602","Miami--Fort Lauderdale, FL","6077522","1297","MB","Bus","PT","53","0.7674",,"0.1",,"69.0499",,"9.0015",,"7.6709",,"1.9496",,"940066",,"9397136",,"1225033",,"136092",,"4820090",,"1514228",
"County of Miami-Dade","Miami","FL","40034","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56602","Miami--Fort Lauderdale, FL","6077522","1297","MG","Monorail/Automated Guideway","DO","21","0",,"0",,"400.8466",,"68.745",,"5.8309",,"5.3285",,"0",,"38169816",,"6546102",,"95223",,"7163366",,"971289",
"County of Miami-Dade","Miami","FL","40034","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56602","Miami--Fort Lauderdale, FL","6077522","1297","CB","Commuter Bus","PT","9","0.5172",,"0.0618",,"77.2113",,"9.227",,"8.3679",,"0.2167",,"187545",,"3034637",,"362650",,"39303",,"14001729",,"1260591",
"Pace, the Suburban Bus Division of the Regional Transportation Authority, dba: Pace Suburban Bus","Arlington Heights","IL","50182","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","16264","Chicago, IL--IN","8671746","1191","DR","Demand Response","PT","750","2.7591",,"0.0411",,"110.507",,"1.6445",,"67.1968",,"8.511",,"7074893",,"172304229",,"2564172",,"1559216",,"20244980",,"21011740",
